platform,sceneid,productid,acqdate,tileid
Sentinel 2,S2A_MSIL1C_20180709T075611_N0206_R035_T39VUC_20180709T100339,9ffaf5d7-55d2-4b70-9bfc-dfa6de5b1009,2018-07-09 00:00:00,T39VUC
Sentinel 2,S2A_MSIL1C_20180706T074611_N0206_R135_T39UUB_20180706T091932,0a5c1d9d-a4e3-4edf-9744-5e158b6d285d,2018-07-06 00:00:00,T39UUB
Sentinel 2,S2A_MSIL1C_20180706T074611_N0206_R135_T39VVC_20180706T091932,9a9102b5-2b18-4ca5-86b5-9c5ca356c6a9,2018-07-06 00:00:00,T39VVC
Sentinel 2,S2A_MSIL1C_20180706T074611_N0206_R135_T39VUC_20180706T091932,71701bae-d9d0-4052-b515-e364eb890b85,2018-07-06 00:00:00,T39VUC
Sentinel 2,S2A_MSIL1C_20180706T074611_N0206_R135_T39UVB_20180706T091932,c8c39290-0865-4d6a-a601-48e37b4a6e66,2018-07-06 00:00:00,T39UVB
Sentinel 2,S2B_MSIL1C_20180704T080009_N0206_R035_T39UVB_20180704T100833,6ff01714-2d5a-4227-90fc-e15d36f045d6,2018-07-05 00:00:00,T39UVB
Sentinel 2,S2B_MSIL1C_20180704T080009_N0206_R035_T39VUC_20180704T100833,a2ea3e7a-80bd-4c2a-a095-14e227ce36e1,2018-07-05 00:00:00,T39VUC
Sentinel 2,S2B_MSIL1C_20180704T080009_N0206_R035_T39UUB_20180704T100833,28094598-2234-4012-8201-8ac26a93e9a5,2018-07-05 00:00:00,T39UUB
Sentinel 2,S2B_MSIL1C_20180701T074609_N0206_R135_T39UUB_20180701T100320,d646e5ce-27f5-4350-bd99-ee1abda451c2,2018-07-01 00:00:00,T39UUB
Sentinel 2,S2B_MSIL1C_20180701T074609_N0206_R135_T39VUC_20180701T100320,daf80746-5790-4668-bc9c-54629948b0e0,2018-07-01 00:00:00,T39VUC
Sentinel 2,S2B_MSIL1C_20180701T074609_N0206_R135_T39VVC_20180701T100320,fc032374-24be-460f-8e29-432544d77cd6,2018-07-01 00:00:00,T39VVC
Sentinel 2,S2B_MSIL1C_20180701T074609_N0206_R135_T39UVB_20180701T100320,c1491ba8-cfa9-40fa-88e5-b8d019fa73af,2018-07-01 00:00:00,T39UVB
Sentinel 2,S2A_MSIL1C_20180629T075611_N0206_R035_T39UUB_20180629T101546,992e57f0-654f-4fd6-a2ed-1be6c8beddbe,2018-07-01 00:00:00,T39UUB
Sentinel 2,S2A_MSIL1C_20180629T075611_N0206_R035_T39UVB_20180629T101546,0217c527-8b3f-4610-8992-0d3ef4a232c7,2018-07-01 00:00:00,T39UVB
Sentinel 2,S2A_MSIL1C_20180629T075611_N0206_R035_T39VVC_20180629T101546,7bf73c8d-10b7-4d5a-b925-fa3ae50f57aa,2018-07-01 00:00:00,T39VVC
Sentinel 2,S2A_MSIL1C_20180629T075611_N0206_R035_T39VUC_20180629T101546,1779a706-c242-4eb2-b5e4-079e5eadef58,2018-07-01 00:00:00,T39VUC
Sentinel 2,S2A_MSIL1C_20180626T074731_N0206_R135_T39VVC_20180626T091138,005235d2-e31f-49e7-acf6-c0dc2f4f9230,2018-06-27 00:00:00,T39VVC
Sentinel 2,S2A_MSIL1C_20180626T074731_N0206_R135_T39VUC_20180626T091138,487dadb8-15c1-4301-b138-845738a239f3,2018-06-27 00:00:00,T39VUC
Sentinel 2,S2A_MSIL1C_20180626T074731_N0206_R135_T39UVB_20180626T091138,819d7344-b8f9-479d-aedd-e4e2aa26f744,2018-06-26 00:00:00,T39UVB
Sentinel 2,S2A_MSIL1C_20180626T074731_N0206_R135_T39UUB_20180626T091138,78c240d9-e640-4706-b277-a68ab2cce63e,2018-06-26 00:00:00,T39UUB
Sentinel 2,S2B_MSIL1C_20180624T075609_N0206_R035_T39VVC_20180624T100412,bd61c395-fa6a-4749-80b9-634633eb33e1,2018-06-24 00:00:00,T39VVC
Sentinel 2,S2B_MSIL1C_20180624T075609_N0206_R035_T39UUB_20180624T100412,5276ba6b-ae76-4dd7-ac7b-d62224afd892,2018-06-24 00:00:00,T39UUB
Sentinel 2,S2B_MSIL1C_20180624T075609_N0206_R035_T39UVB_20180624T100412,3544a096-8df9-4fdc-81a0-88daa7fdbad3,2018-06-24 00:00:00,T39UVB
Sentinel 2,S2B_MSIL1C_20180624T075609_N0206_R035_T39VUC_20180624T100412,91b59888-4c8b-4630-98e2-66b7496a856a,2018-06-24 00:00:00,T39VUC
Sentinel 2,S2B_MSIL1C_20180621T074609_N0206_R135_T39VVC_20180621T100437,867ffcc9-eee8-4e3f-8ad4-3afea5e6f9e3,2018-06-21 00:00:00,T39VVC
Sentinel 2,S2B_MSIL1C_20180621T074609_N0206_R135_T39VUC_20180621T100437,37edd103-00f3-44bd-8453-b6ec2842973f,2018-06-21 00:00:00,T39VUC
